text
"A subsurface representation featuring forward-prograding geometry presenting low noise, high frequency and low amplitude."
"2D subsurface model exhibiting an oblique clinoform pattern with low amplitude, high frequency and low noise."
"High noise, low amplitude and high frequency 2D section exhibiting a tabular reflection pattern."
"A subsurface representation presenting a planar geometry with high frequency, high noise and low amplitude."
"A section characterized by concordant seismic layering presenting high noise, high frequency and low amplitude."
"High noise, low amplitude and high frequency 2D section of a planar geometry."
"High noise, high frequency and low amplitude 2D section exhibiting an uniform layering pattern."
"A section of concordant seismic layering presenting low amplitude, high frequency and high noise."
"2D seismic model of a planar geometry with low amplitude, high noise and high frequency."
A subsurface model of flaring reflection geometry of.
Section containing a spreading stratigraphic unit.
Subsurface model presenting a spreading stratigraphic unit of.
Section containing differentially dipping reflectors with.
A subsurface representation characterized by a spreading stratigraphic unit of.
"A low amplitude, high frequency and high noise 2D seismic model containing a planar geometry."
"A seismic model with a planar geometry of low amplitude, high frequency and high noise."
"Low amplitude, high noise and high frequency section exhibiting continuous horizontal reflections."
"Subsurface representation featuring continuous horizontal reflections with low amplitude, high noise and high frequency."
"A slice characterized by an uniform layering pattern of low amplitude, high frequency and high noise."
"Subsurface representation characterized by an uniform layering pattern presenting high frequency, low amplitude and high noise."
A 2D subsurface model of flaring reflection geometry with.
Seismic model exhibiting diverging seismic pattern presenting.
A section featuring a fanning reflection geometry presenting.
Subsurface model with thickening wedge pattern of.
Seismic model exhibiting divergent foreset reflections presenting.
Subsurface representation of flaring reflection geometry presenting.
A subsurface model of undefined internal geometry of low amplitude and high frequency.
A high frequency and low amplitude subsurface representation featuring undefined internal geometry.
Subsurface representation with a chaotic pattern presenting high frequency and low amplitude.
A high frequency and low amplitude 2D section presenting internal structuraly disturbed reflexions.
2D section characterized by internal structuraly disturbed reflexions with high frequency and low amplitude.
"High noise, high frequency and low amplitude 2D subsurface model presenting a parallel-laminated unit."
"A 2D subsurface model characterized by a parallel geometry of high frequency, high noise and low amplitude."
"High noise, low amplitude and high frequency seismic model presenting continuous horizontal reflections."
"A 2D section with laterally uniform bedding with high noise, low amplitude and high frequency."
"A high noise, high frequency and low amplitude subsurface representation of a parallel-bedded strata."
"2D subsurface model presenting a parallel geometry presenting high frequency, high noise and low amplitude."
"Seismic section containing a parallel-laminated unit of high frequency, high noise and low amplitude."
"A seismic model exhibiting an uniform layering pattern with high noise, high frequency and low amplitude."
"2D subsurface model exhibiting a tabular reflection pattern with low amplitude, high frequency and high noise."
"Seismic image featuring laterally uniform bedding with high frequency, high noise and low amplitude."
Section of differentially dipping reflectors of.
A 2D seismic model characterized by a divergent bedform geometry.
A 2D subsurface model exhibiting flaring reflection geometry.
A slice with diverging seismic pattern with.
A seismic section characterized by differentially dipping reflectors.
"Low amplitude, low noise and high frequency subsurface model with an oblique clinoform pattern."
"Seismic model containing an oblique clinoform pattern with low amplitude, high frequency and low noise."
"Seismic section with a clinoform with low amplitude, low noise and high frequency."
"A 2D section exhibiting a sigmoid with low amplitude, high frequency and low noise."
"A subsurface model characterized by forward-prograding geometry with low amplitude, low noise and high frequency."
"2D seismic model presenting a sigmoidal clinoform set with low amplitude, low noise and high frequency."
"A slice containing a sigmoidal clinoform set with low noise, low amplitude and high frequency."
A 2D subsurface model presenting a spreading stratigraphic unit.
A 2D subsurface model characterized by flaring reflection geometry of.
A slice containing diverging seismic pattern with.
A seismic model with thickening wedge pattern.
Subsurface model characterized by flaring reflection geometry.
A 2D seismic model exhibiting a fanning reflection geometry presenting.
High frequency and low amplitude seismic image characterized by chaotic internal geometry.
A high frequency and low amplitude subsurface model containing internal structuraly disturbed reflexions.
2D seismic model characterized by chaotic internal geometry presenting low amplitude and high frequency.
Seismic model presenting an undefined seismic structure presenting low amplitude and high frequency.
"Subsurface model containing concordant seismic layering with high noise, low amplitude and high frequency."
"Subsurface representation featuring continuous horizontal reflections presenting high frequency, high noise and low amplitude."
"A slice exhibiting laterally uniform bedding with high frequency, high noise and low amplitude."
"A subsurface model with a parallel-laminated unit of high frequency, high noise and low amplitude."
"Seismic model with laterally uniform bedding presenting high frequency, high noise and low amplitude."
"Seismic model featuring a spreading stratigraphic unit presenting low amplitude, low noise and high frequency."
